英文,中文
rei_no_pool,利诺池
reindeer,驯鹿
reindeer_antlers,驯鹿的鹿角。
reindeer_costume,驯鹿服装
reins,缰绳
remodel_(kantai_collection),改造（kantai collection）
remote_control,远程控制
remote_control_vibrator,遥控振动器
respirator,呼吸器
restaurant,餐厅
restrained,克制
restroom,厕所
retro_artstyle,复古artstyle
retrofit_(azur_lane),改造（蓝色车道）
revealing_clothes,暴露的衣服
reverse_bunnysuit,反向bunnysuit
reverse_cowgirl_position,反向牛仔姿势
reverse_grip,反向控制
reverse_outfit,反装
reverse_suspended_congress,反休会大会
reverse_trap,反向陷阱
reverse_upright_straddle,反向直立跨骑
revolver,左轮手枪
ribbed_bodysuit,肋紧身衣裤
ribbed_dress,肋衣服
ribbed_legwear,肋legwear
ribbed_leotard,肋紧身连衣裤
ribbed_shirt,肋的衬衫
ribbed_sleeves,肋的袖子
ribbed_sweater,肋的毛衣
ribbon,丝带
ribbon-trimmed_bra,ribbon-trimmed胸罩
ribbon-trimmed_clothes,ribbon-trimmed衣服
ribbon-trimmed_collar,ribbon-trimmed领
ribbon-trimmed_dress,ribbon-trimmed衣服
ribbon-trimmed_legwear,ribbon-trimmed legwear
ribbon-trimmed_panties,ribbon-trimmed内裤
ribbon-trimmed_skirt,ribbon-trimmed裙子
ribbon-trimmed_sleeves,ribbon-trimmed袖子
ribbon_bondage,丝带束缚
ribbon_braid,丝带编织
ribbon_choker,带项链
ribbon_in_mouth,口含丝带
ribbon_trim,丝带装饰
ribs,肋骨
rice,大米
rice_bowl,碗米饭
rice_on_face,脸上有米饭
riding,骑
riding_crop,马鞭
riding_pokemon,骑口袋妖怪
rifle,步枪
rigging,索具
rimless_eyewear,无框的眼镜
ring,环
ring_gag,环咽
ringed_eyes,环绕的眼睛
ringlets,鬈发
ripples,涟漪
rising_sun,升起的太阳
ritual_baton,仪式的接力棒
river,河
riyo_(lyomsnpmp)_(style),Riyo (lyomsnpmp)（风格）
road,路
road_sign,路标
robe,长袍
robot,机器人
robot_ears,机器人的耳朵
robot_joints,机器人关节
rock,岩石
rocket,火箭
rocket_launcher,火箭发射器
rod_of_remorse,悔恨之杖
role_reversal,角色转换
roller_skates,溜冰鞋
rolling_eyes,滚动的眼睛
romaji_text,罗马字文本
roman_numeral,罗马数字
rooftop,屋顶
rook_(chess),车(象棋)
room,房间
rooster,公鸡
rope,绳子
rose,玫瑰
rose_petals,玫瑰花瓣
rose_print,玫瑰打印
roswaal_mansion_maid_uniform,罗斯瓦尔大厦女仆制服
rotational_symmetry,旋转对称
round-bottom_flask,圆底烧瓶
round_eyewear,圆的眼镜
round_teeth,圆齿
round_window,圆形窗口
rounded_corners,圆角
rubber_boots,橡胶靴
rubber_duck,橡皮鸭
rubbing_eyes,"揉眼睛,"
rubble,废墟
ruby_(gemstone),ruby(宝石)
rudder_footwear,舵鞋类
ruffling_hair,弄乱头发
rug,地毯
ruins,废墟
ruler,统治者
runes,符文
running,运行
russian_text,俄罗斯的文本
ryona,ryona
ryouou_school_uniform,你的校服
saber_(weapon),军刀(武器)
sack,袋
sad,悲伤的
saddle,鞍
sadism,施虐
safety_pin,安全别针
sagging_breasts,下垂的乳房
sailor,水手
sailor_bikini,水手比基尼
sailor_collar,水手领
sailor_collar_lift,水手项圈提升
sailor_dress,水手衣服
sailor_hat,水手帽
sailor_moon_redraw_challenge,美少女战士重画挑战
sailor_senshi,水手水手
sailor_senshi_uniform,水手制服
sailor_shirt,水手的衬衫
sainan_high_school_uniform,塞南高中校服
saint_quartz_(fate),圣石英（命运）
saiyan_armor,saiyan护甲
sakazuki,sakazuki
sake,为了
sake_bottle,为了瓶子
sakugawa_school_uniform,樱川校服
sakuragaoka_high_school_uniform,樱冈高中校服
sakuramon,sakuramon
salad,沙拉
salaryman,工薪族
saliva,唾液
saliva_trail,唾液小道
salute,敬礼
sam_browne_belt,山姆·布朗腰带
sample,样本
samurai,武士
sand,沙子
sand_castle,沙堡
sand_sculpture,沙雕
sandals,凉鞋
sandals_removed,凉鞋删除
sandwich,三明治
sandwiched,夹在
sangvis_ferri,sangvis费里
sanpaku,sanpaku
sanshoku_dango,sanshoku dango
santa_bikini,圣诞老人的比基尼
santa_boots,圣诞老人的靴子
santa_costume,圣诞老人服装
santa_dress,圣诞老人服装
santa_gloves,圣诞手套
santa_hat,圣诞老人的帽子
sapphire_(gemstone),蓝宝石(宝石)
sarashi,漂白
sarong,布裙
sash,腰带
satchel,书包
satin,缎
satin_panties,缎的内裤
saucer,飞碟
sauna,桑拿
saunders_military_uniform,桑德斯军服
saunders_school_uniform,桑德斯校服
saury,秋刀鱼
sausage,香肠
saw,看到
sayagata,sayagata
scabbard,鞘
scales,尺度
scalpel,手术刀
scar,疤痕
scar_across_eye,眼间疤痕
scar_on_arm,手臂上的疤痕
scar_on_cheek,脸颊疤痕
scar_on_chest,胸部疤痕
scar_on_face,脸上的疤痕
scar_on_forehead,前额疤痕
scar_on_nose,鼻子上的疤痕
scared,害怕
scarf,围巾
scarf_over_mouth,口围围巾
scarlet_devil_mansion,猩红魔鬼大厦
scene_reference,现场参考
scenery,风景
scepter,权杖
school,学校
school_bag,书包
school_briefcase,学校的公文包
school_chair,学校的椅子
school_desk,学校的桌子
school_hat,学校的帽子
school_swimsuit,学校泳装
school_uniform,校服
science_fiction,科幻小说
scissor_blade,剪刀刀片
scissors,剪刀
scoop_neck,低圆领
scooter,踏板车
scope,范围
scowl,阴沉沉的
scratches,划痕
screaming,尖叫
screen,屏幕
screentones,screentones
screw,螺杆
screwdriver,螺丝刀
scroll,滚动
scrunchie,发束
scythe,长柄大镰刀
seagull,海鸥
seal_(animal),密封(动物)
seamed_legwear,缝合legwear
searchlight,探照灯
seashell,海贝
season_connection,赛季连接
seat,座位
seatbelt,安全带
seaweed,海藻
seductive_smile,迷人的微笑
see-through,透明的
see-through_dress,透明的衣服
see-through_shirt,透明的衬衫
see-through_silhouette,透明的轮廓
see-through_skirt,透明的裙子
see-through_sleeves,透明的袖子
seigaiha,seigaiha
seikan_hikou,seikan hikou
seishou_elementary_school_uniform,圣手小学校服
seiza,正
selection_university_military_uniform,选择大学军装
self_fondle,自我抚弄
self_hug,自己拥抱
selfcest,selfcest
selfie,有问题
semi-rimless_eyewear,半眼镜
senbei,其
sepia,乌贼
serafuku,serafuku
serious,严重的
serval_print,薮猫打印
setsubun,setsubun
severed_head,头颅
severed_limb,断肢
sewing,缝纫
sex,性
sex_from_behind,从背后做爱
sex_machine,性机器
sex_toy,性玩具
sextuplets,六胞胎
sexually_suggestive,性暗示的
shackles,枷锁
shade,阴影
shaded_face,阴影的脸
shading_eyes,阴影的眼睛
shadow,影子
shaking,摇晃
shako_cap,帽子帽
shallow_water,浅水
shamoji,shamoji
shards,碎片
shared_bathing,共同沐浴
shared_food,共享食物
shared_object_insertion,共享对象插入
shared_scarf,共享的围巾
shared_speech_bubble,共享语音泡沫
shared_umbrella,分享雨伞
shark,鲨鱼
shark_costume,鲨鱼服饰
shark_girl,鲨鱼的女孩
shark_hair_ornament,鲨鱼毛饰品
shark_hood,鲨鱼罩
shark_tail,鲨鱼的尾巴
sharp_fingernails,锋利的指甲
sharp_teeth,锋利的牙齿
sharp_toenails,锋利的指甲
shaved_ice,刨冰
shawl,披肩
sheath,鞘
sheathed,护套
sheep,羊
sheep_ears,羊耳朵
sheep_girl,羊的女孩
sheep_horns,羊的角
sheer_clothes,纯粹的衣服
sheer_legwear,纯粹legwear
sheer_leotard,纯粹的紧身连衣裤
sheet_grab,单抓
sheet_music,乐谱
shelf,架子上
shell,壳牌
shell_bikini,壳牌比基尼
shell_casing,壳壳
shiba_inu,日本柴犬
shibari,绳缚
shibari_over_clothes,柴巴里over衣服
shide,大连实德
shield,盾
shikigami,shikigami
shikishi,shikishi
shimakaze_(kancolle)_(cosplay),岛风（kancolle） （cosplay）
shimenawa,根
shin_guards,的护腿
shinai,shinai
shinda_sekai_sensen_uniform,Shinda sekai sensen制服
shindan_maker,shindan制造商
shinsengumi,新撰组
shiny,闪亮的
shiny_clothes,闪亮的衣服
shiny_hair,闪亮的头发
shiny_legwear,闪亮的legwear
shiny_pokemon,闪亮的口袋妖怪
shiny_skin,闪闪发光的皮肤
ship,船
shirt,衬衫
shirt_grab,衬衫抓住
shirt_in_mouth,衬衫含在嘴里
shirt_lift,衬衫电梯
shirt_pull,衬衫拉
shirt_removed,衬衫删除
shirt_tucked_in,塞进衬衫
shirt_tug,衬衫拖轮
shitty_admiral_(phrase),糟糕的海军上将（短语）
shoe_dangle,鞋晃
shoe_soles,鞋的鞋底
shoelaces,鞋带
shoes,鞋子
shoes_removed,鞋子删除
shogi,shogi
shooting_star,流星
shop,商店
shopping,购物
shopping_bag,购物袋
shore,海岸
short_dress,短裙
short_eyebrows,短的眉毛
short_hair,短头发
short_hair_with_long_locks,短发配长发
short_jumpsuit,短连身裤
short_kimono,短的和服
short_necktie,短领带
short_over_long_sleeves,长袖短袖
short_ponytail,短的马尾辫
short_shorts,短裤
short_sidetail,短sidetail
short_sleeves,短袖
short_sword,短刀
short_twintails,短twintails
shorts,短裤
shorts_around_one_leg,单腿短裤
shorts_pull,短裤拉
shorts_under_dress,短裤内装
shorts_under_skirt,裙下短裤
shortstack,shortstack
shotgun,散弹枪
shotgun_shell,猎枪弹
shouji,正治
shoujo_kitou-chuu,少女kitou-chuu
shoulder_armor,肩甲
shoulder_bag,肩包
shoulder_blades,肩胛骨
shoulder_cannon,肩炮
shoulder_carry,肩带
shoulder_cutout,肩膀断路
shoulder_holster,肩挂式枪套
shoulder_pads,垫肩
shoulder_spikes,肩膀峰值
shoulder_strap,肩带
shoulder_tattoo,肩膀上的纹身
shoulders,肩膀
shouting,大喊大叫
shovel,铲
shower_(place),淋浴(地方)
shower_head,淋浴头
showering,洗澡
showgirl_skirt,歌舞女郎的裙子
shrimp,虾
shrimp_tempura,虾天妇罗
shrine,神社
shrug_(clothing),耸耸肩(服装)
shrugging,耸
shuriken,补血
shushing,嘘声
shuuchiin_academy_uniform,书院制服
shuujin_academy_uniform,书金学院制服
shy,害羞的
siblings,兄弟姐妹
sick,生病的
sickle,镰状
side-by-side,并排
side-tie_bikini,岩石平巷比基尼
side-tie_leotard,岩石平巷紧身连衣裤
side-tie_panties,岩石平巷内裤
side-tie_skirt,岩石平巷的裙子
side_braid,一边编织
side_braids,一边的辫子
side_bun,一边包
side_cutout,侧断路
side_drill,一边钻
side_ponytail,一边马尾辫
side_slit,侧缝
side_slit_shorts,侧开衩短裤
sideboob,sideboob
sideburns,鬓角
sideless_outfit,无端的衣服
sidelighting,光源
sidelocks,sidelocks
sidepec,sidepec
sidesaddle,横座马鞍
sidewalk,人行道上
sideways,侧面
sideways_glance,侧面看
sideways_hat,侧面的帽子
sideways_mouth,侧口
sig_sauer,sig sauer
sigh,叹息
sign,标志
signature,签名
silent_comic,沉默的漫画
silhouette,轮廓
silk,丝绸
silver_dress,银色的礼服
silver_hair,银色的头发
silver_trim,银修剪
simple_background,简单的背景
simplified_chinese_text,简体中文文本
singing,唱歌
single_bare_shoulder,单裸肩
single_boot,单一的引导
single_braid,单一的辫子
single_detached_sleeve,单分离套筒
single_earring,单一的耳环
single_elbow_glove,单肘手套
single_fingerless_glove,无指手套
single_gauntlet,单一的挑战
single_glove,单只手套
single_hair_intake,单发进气口
single_head_wing,单头翼
single_horizontal_stripe,单横条纹
single_horn,独角
single_kneehigh,单一kneehigh
single_leg_pantyhose,单腿连裤袜
single_mechanical_arm,单机械臂
single_pantsleg,单一pantsleg
single_pauldron,单一的护肩甲
single_shoe,单鞋
single_sidelock,单一sidelock
single_sleeve,单套
single_sock,单一的袜子
single_strap,单带
single_stripe,单一的条纹
single_thighhigh,单一thighhigh
single_vertical_stripe,单竖条纹
single_wing,单翼
sink,水槽
sisters,姐妹
sitting,坐着
sitting_backwards,坐在向后
sitting_in_tree,坐在树上
sitting_on_bed,坐在床上
sitting_on_bench,坐在长凳上
sitting_on_desk,坐在桌子上
sitting_on_face,坐在脸上
sitting_on_lap,坐在腿上
sitting_on_object,坐在物体上
sitting_on_person,坐在人身上
sitting_on_rock,坐在岩石上
sitting_on_shoulder,坐在肩膀上
sitting_on_stairs,坐在楼梯上
sixteenth_note,十六分音符
size_difference,大小差异
skateboard,滑板
skates,溜冰鞋
skeleton,骨架
skeleton_print,骨架打印
sketch,草图
sketchbook,速写本
skewer,串肉扦
skin-covered_horns,皮肤的角
skin_fang,皮肤方
skin_fangs,皮肤的尖牙
skin_tight,皮肤紧
skindentation,skindentation
skinny,瘦
skirt,裙子
skirt_around_one_leg,单腿裙
skirt_basket,裙子篮子
skirt_flip,裙子翻
skirt_hold,裙子举行
skirt_lift,裙子电梯
skirt_pull,裙子拉
skirt_removed,裙子被
skirt_set,裙子集
skirt_suit,裙装
skirt_tug,裙子拖轮
skull,头骨
skull_and_crossbones,骷髅和交叉骨
skull_earrings,头骨的耳环
skull_hair_ornament,头饰
skull_mask,骷髅面具
skull_necklace,头骨项链
skull_print,头骨打印
sky,天空
skyline,天际线
skyscraper,摩天大楼
slap_mark,耳光马克
slapping,拍打
slashing,削减
slave,奴隶
sleep_mask,睡眠面膜
sleep_molestation,睡眠猥亵
sleeping,睡觉
sleeping_on_person,趴在人身上睡觉
sleeping_upright,睡觉直立
sleepwear,睡衣裤
sleepy,困了
sleeve_cuffs,袖袖口
sleeve_grab,袖子抓住
sleeveless,无袖
sleeveless_blouse,无袖上衣
sleeveless_dress,无袖连衣裙
sleeveless_hoodie,无袖连帽衫
sleeveless_jacket,无袖上衣
sleeveless_kimono,无袖和服
sleeveless_shirt,无袖衬衫
sleeveless_sweater,无袖衫
sleeveless_turtleneck,无袖的高领毛衣
sleeves_folded_up,袖子叠起来
sleeves_past_elbows,袖子过肘
sleeves_past_fingers,袖子过指
sleeves_past_wrists,袖子过手腕
sleeves_pushed_up,袖子向上推
sleeves_rolled_up,卷起袖子
sliding_doors,滑动门
slim_legs,纤细的腿
slime_(creature),粘液(生物)
slime_(substance),粘液(物质)
slime_girl,黏液的女孩
sling,吊索
sling_bikini_top,吊带比基尼上衣
slingshot_swimsuit,弹弓泳衣
slippers,拖鞋
slit_pupils,狭缝的学生
small_breasts,小的乳房
small_nipples,小乳头
small_penis,小阴茎
smartphone,智能手机
smell,气味
smelling,闻
smile,微笑
smiley_face,笑脸
smirk,得意的笑
smoke,烟
smokestack,烟囱
smokestack_hair_ornament,烟囱发饰
smoking,吸烟
smoking_gun,确凿的证据
smug,沾沾自喜
snack,零食
snail,蜗牛
snake,蛇
snake_hair,蛇的头发
snake_hair_ornament,蛇毛饰品
snake_tail,蛇的尾巴
snap-fit_buckle,snap-fit扣
sneakers,运动鞋
sneezing,打喷嚏
sniper_rifle,狙击步枪
snorkel,通气管
snot,鼻涕
snout,鼻子
snow,雪
snow_bunny,雪兔
snowball,雪球
snowflake_background,雪花的背景
snowflake_hair_ornament,雪花发饰
snowflake_print,雪花打印
snowflakes,雪花
snowing,下雪
snowman,雪人
soaking_feet,泡脚
soap,肥皂
soap_bottle,肥皂瓶子
soap_bubbles,肥皂泡
soap_censor,soap审查
sobu_high_school_uniform,Sobu高中校服
soccer,足球
soccer_ball,足球
soccer_uniform,足球服
sock_garters,袜子吊袜带
sock_pull,袜子拉
socks,袜子
socks_removed,袜子删除
soda,苏打水
soda_bottle,苏打瓶
soda_can,苏打水可以
sode,sode
soft_serve,软服务
soldier,士兵
soles,鞋底
solid_circle_eyes,实心圆眼
solid_eyes,固体的眼睛
solid_oval_eyes,实心椭圆形眼睛
solo,独奏
solo_focus,单独专注
song_name,歌曲的名字
sorcerer's_sutra_scroll,法师的经卷
soul_gem,灵魂宝石
sound_effects,声音效果
soup,汤
soviet,苏联
space,空间
space_craft,宇宙飞船
space_helmet,太空头盔
spaceship_hair_ornament,飞船发饰
spacesuit,宇航服
spade_(shape),铲(形状)
spade_hair_ornament,铁锹发饰
spaghetti,意大利面
spaghetti_strap,细肩带
spandex,氨纶
spanked,来抽
spanking,打屁股
sparkle,闪耀
sparkle_background,闪闪发光的背景
sparkler,炯炯有神的眼睛
sparkling_eyes,闪闪发光的眼睛
sparks,火花
sparrow,麻雀
sparse_pubic_hair,阴毛稀少
spatula,抹刀
speaker,演讲者
speaking_tube_headset,扬声器耳机
spear,矛
spear_the_gungnir,用矛刺炮手
special_feeling_(meme),特别的感觉（模因）
speech_bubble,演讲泡沫
speed_lines,速度行
spell_card,魔法卡片
sperm_cell,精子
spider,蜘蛛
spider_girl,蜘蛛女孩
spider_lily,蜘蛛兰
spider_web,蜘蛛网
spider_web_print,蜘蛛网印花
spiked_armlet,飙升臂章
spiked_bracelet,飙升的手镯
spiked_club,飙升的俱乐部
spiked_collar,飙升领
spiked_hair,头发
spiked_shell,尖刺外壳
spiked_tail,尖刺的尾巴
spikes,峰值
spill,泄漏
spilling,溢出
spine,脊柱
spinning,旋转
spirit,精神
spit_take,吐拿
spitroast,spitroast
spitting,随地吐痰
splashing,溅
splatter,飞溅
splattershot_(splatoon),splattershot (splatoon)
split,分裂
split_mouth,分割口
split_ponytail,分裂马尾辫
split_screen,分屏
spoken_anger_vein,言语愤怒
spoken_blush,说话会脸红
spoken_character,说性格
spoken_ellipsis,口语省略
spoken_exclamation_mark,口语感叹号
spoken_heart,口语的心
spoken_interrobang,interrobang口语
spoken_musical_note,口述音符
spoken_object,说话的对象
spoken_question_mark,口语问号
spoken_squiggle,说乱涂乱画
spoken_sweatdrop,sweatdrop口语
sponge,海绵
spoon,勺子
spooning,搂抱
sport,体育运动
sports_bikini,体育比基尼
sports_bra,运动胸衣
sportswear,运动服装
spot_color,专色
spotlight,关注的焦点
spray_can,喷雾可以
spread_anus,传播肛门
spread_arms,传播武器
spread_ass,传播的屁股
spread_fingers,传播的手指
spread_legs,传播的腿
spread_pussy,传播猫咪
spread_pussy_under_clothes,把阴部铺在衣服下面
spread_toes,传播的脚趾
spread_wings,传播的翅膀
spreader_bar,撑杆
spring_(season),弹簧(季节)
spring_onion,葱
square_4koma,广场4黄家驹
squatting,蹲
squatting_cowgirl_position,蹲下牛仔姿势
squid,鱿鱼
squidbeak_splatoon,squidbeak splatoon
squiggle,乱涂乱画
squinting,眯着眼看
squirrel,松鼠
squirrel_ears,松鼠的耳朵
squirrel_girl,松鼠的女孩
squirrel_tail,松鼠的尾巴
st._chronica_academy_uniform,圣克罗尼察学院制服
st._gloriana's_(emblem),圣格洛瑞娜（徽章）
st._gloriana's_military_uniform,圣格洛瑞娜的军装
st._gloriana's_school_uniform,圣格洛瑞娜的校服
stab,刺
stadium,体育场
staff,工作人员
staff_(music),员工(音乐)
stage,阶段
stage_lights,舞台灯光
stain,染色
stained_glass,彩色玻璃
stained_panties,彩色内裤
stairs,楼梯
stance,的立场
stand_(jojo),站(乔乔)
standard_bearer,旗手
standing,站
standing_on_liquid,站在液体上
standing_on_one_leg,单腿站立
standing_sex,站着做爱
standing_split,站在分裂
star-shaped_pupils,星形的学生
star_(sky),星(天空)
star_(symbol),星(符号)
star_choker,星项链
star_earrings,明星的耳环
star_guardian_(league_of_legends),星际守护者（英雄联盟）
star_hair_ornament,星形发饰
star_halo,明星光环
star_hat_ornament,星形帽饰
star_in_eye,眼中的星星
star_necklace,星项链
star_of_david,大卫之星
star_pasties,明星馅饼
star_print,星印刷
starfish,海星
staring,盯着
starlight_academy_uniform,星光学院制服
starry_background,星光熠熠的背景
starry_sky,星空
starry_sky_print,星空印花
starter_pokemon_trio,开始宝可梦三人组
stationary_restraints,静止的限制
stats,统计数据
statue,雕像
steak,牛排
stealth_sex,隐形性
steam,蒸汽
steam_censor,蒸汽审查
steaming_body,热气腾腾的身体
steampunk,蒸汽朋克
steepled_fingers,有尖塔的手指
steering_wheel,方向盘
stepped_on,踩了
stethoscope,听诊器
stick,坚持
stick_poster,贴海报
sticker,贴纸
stile_uniform,阶梯制服
stiletto_heels,细高跟鞋
still_life,静物画
stirrup_legwear,马镫legwear
stitched_face,缝合的脸
stitched_mouth,缝口
stitches,针
stole,偷了
stomach,胃
stomach_bulge,胃胀
stomach_cutout,胃断路
stomach_tattoo,腹部纹身
stone,石头
stone_floor,石头地板上
stone_lantern,石灯笼
stone_stairs,石阶
stone_wall,石墙
stool,凳子
stopwatch,秒表
storefront,店面
storm,风暴
stove,炉子
straddling,横跨
straight-on,直接
straight_hair,直发
straitjacket,紧身衣
strangling,扼杀
strap,带
strap-on,捆绑式助推器
strap_between_breasts,胸间带
strap_gap,带缺口
strap_lift,带电梯
strap_pull,带拉
strap_slip,带滑
strapless,无肩带的
strapless_bikini,无肩带比基尼
strapless_bottom,无肩带的底部
strapless_bra,无肩带文胸
strapless_dress,无肩带礼服
strapless_leotard,无肩带的紧身连衣裤
strapless_swimsuit,无肩带的泳衣
strappy_heels,高跟凉鞋
straw_hat,草帽
strawberry,草莓
strawberry_hair_ornament,草莓发饰
strawberry_panties,草莓内裤
strawberry_print,草莓印
strawberry_shortcake,草莓娃娃
stray_pubic_hair,散乱的阴毛
streaked_hair,闪亮的头发
stream,流
streamers,飘带
streaming_tears,流眼泪
street,街
stretch,拉伸
striker_unit,前锋单位
string,字符串
string_bikini,比基尼
string_bra,字符串的胸罩
string_of_fate,命运之线
string_of_flags,标志串
string_panties,字符串的内裤
striped,条纹
striped_background,条纹背景
striped_bikini,条纹比基尼
striped_bow,条纹蝴蝶结
striped_bowtie,条纹领结
striped_bra,条纹的胸罩
striped_dress,条纹的衣服
striped_gloves,条纹的手套
striped_headwear,条纹帽
striped_hoodie,条纹连帽衫
striped_jacket,条纹外套
striped_kimono,条纹和服
striped_legwear,条纹legwear
striped_necktie,条纹领带
striped_panties,条纹内裤
striped_pants,条纹的裤子
striped_ribbon,条纹丝带
striped_scarf,条纹围巾
striped_shirt,条纹衬衫
striped_shorts,条纹短裤
striped_skirt,条纹的裙子
striped_sleeves,条纹的袖子
striped_sweater,条纹毛衣
striped_swimsuit,条纹泳衣
striped_tail,条纹的尾巴
stripper_pole,钢管
struggling,苦苦挣扎的
stubble,碎秸
stuck,卡住了
stud_earrings,耳钉
studded_belt,着带
studded_bracelet,镶嵌手镯
studded_collar,镶嵌领
stuffed_animal,毛绒玩具
stuffed_bunny,毛绒兔子
stuffed_cat,塞的猫
stuffed_penguin,毛绒企鹅
stuffed_shark,鲨鱼
stuffed_toy,填充玩具
stuffed_winged_unicorn,羽绒独角兽
style_parody,风格的模仿
stylus,手写笔
submachine_gun,冲锋枪
submerged,淹没
subtitled,字幕
suction_cups,吸盘
sugar_cube,方糖
suggestive_fluid,暗示流体
suicide,自杀
suit,西装
suit_jacket,西装外套
suitcase,手提箱
sukusuku_hakutaku,sukusuku hakutaku
summer,夏天
summer_festival,夏天的节日
summer_uniform,夏季制服
sun,太阳
sun_hat,太阳帽子
sun_symbol,太阳象征
sunbeam,阳光
sunburst,的阳光
sunburst_background,阳光的背景
sundae,圣代
sundress,背心裙
sunflower,向日葵
sunflower_hair_ornament,向日葵发饰
sunglasses,太阳镜
sunlight,阳光
sunrise,日出
sunscreen,防晒霜
sunset,日落
super_crown,超级皇冠
super_robot,超级机器人
super_saiyan,超级saiyan
super_saiyan_1,超级赛亚人1
super_soaker,超级酒量大的人
superhero,超级英雄
suppressor,抑制器
surcoat,外衣
surfboard,冲浪板
surfing,冲浪
surgical_mask,医用外科口罩
surprise_kiss,意外之吻
surprised,惊讶
surprised_arms,惊讶的武器
surreal,超现实主义的
survey_corps_(emblem),测量队（徽章）
sushi,寿司
suspended_congress,暂停国会
suspender_shorts,背带短裤
suspender_skirt,背带裙
suspenders,背带裤
suspension,悬架
swastika,纳粹党所用的十字记号
sweat,汗水
sweatband,防汗带
sweatdrop,sweatdrop
sweater,毛衣
sweater_around_waist,围腰毛衣
sweater_dress,毛衣服装
sweater_lift,毛衣电梯
sweater_vest,毛衣背心
sweating_profusely,大量出汗
sweatpants,运动裤
sweatshirt,运动衫
sweet_potato,红薯
sweets,糖果
swept_bangs,卷刘海
swim_briefs,游泳内裤
swim_cap,泳帽
swim_trunks,泳裤
swimming,游泳
swimsuit,泳衣
swimsuit_aside,除了泳衣
swimsuit_pull,泳装拉
swimsuit_under_clothes,泳装内装
swing,摇摆不定的
swinging,摆动
swirl_lollipop,漩涡棒棒糖
sword,剑
sword_behind_back,剑在背后
sword_of_hisou,他的剑
sword_over_shoulder,肩上扛剑
symbol,象征
symbol-shaped_pupils,symbol-shaped学生
symbol_in_eye,眼神符号
symmetrical_docking,对称的对接
symmetry,对称
syringe,注射器
syrup,糖浆
t-shirt,t恤
tabard,粗呢大衣
tabi,日式矿工鞋
table,表格
tablecloth,桌布
tablet_pc,平板电脑
tachi-e,tachi-e
tactical_clothes,战术的衣服
tail,尾巴
tail-tip_fire,tail-tip火
tail_bell,尾巴贝尔
tail_between_legs,两腿之间的尾巴
tail_bow,尾巴弓
tail_censor,尾巴审查
tail_feathers,尾羽
tail_grab,尾巴抓住
tail_hug,尾巴拥抱
tail_ornament,尾巴点缀
tail_raised,尾巴了
tail_ribbon,尾带
tail_through_clothes,穿尾衣
tail_wagging,尾巴
tail_wrap,尾包
tailcoat,燕尾服
taimanin_suit,taimanin套装
taiyaki,taiyaki
take_your_pick,随你挑
taking_picture,拍照的
takoyaki,章鱼烧
talisman,护身符
talking,说话
talking_on_phone,打电话
tall,高
tall_female,高的女
tally,理货
talons,爪子
tam_o'_shanter,Tam o' shanter
tamagoyaki,tamagoyaki
tambourine,手鼓
tan,棕褐色
tan_background,晒黑的背景
tanabata,七夕节
tangzhuang,唐装
tank,坦克
tank_focus,坦克焦点
tank_top,背心
tankini,tankini
tanlines,tanlines
tantou,tantou
tanuki,tanuki
tanzaku,tanzaku
tape,磁带
tape_gag,磁带呕吐
tape_measure,卷尺
tapir_tail,貘尾巴
tareme,tareme
tarot,塔罗牌
tassel,流苏
tassel_earrings,流苏耳环
tasuki,tasuki
tatami,榻榻米
tate_eboshi,泰特eboshi
tattoo,纹身
taur,taur
taut_clothes,紧绷的衣服
taut_dress,紧绷的衣服
taut_shirt,紧的衬衫
tea,茶
tea_set,茶具
teacher,老师
teacher_and_student,老师和学生
teacup,茶杯
team_9,团队9
team_rocket,团队火箭
team_rocket_uniform,火箭队队服
team_skull,团队头骨
teamwork,团队合作
teapot,茶壶
teardrop,泪珠
tearing_clothes,撕裂衣服
tearing_up,撕毁
tears,眼泪
teasing,取笑
teddy_bear,泰迪熊
teenage,十几岁的
teeth,牙齿
tegaki,tegaki
telekinesis,心灵遥感
telescope,望远镜
television,电视
telstar,通讯卫星
temari_ball,temari球
temple,寺庙
tempura,天妇罗
tengu,tengu
tengu-geta,tengu-geta
tengu_mask,tengu面具
tennis,网球
tennis_ball,网球
tennis_racket,网球拍
tennis_uniform,网球制服
tent,帐篷
tentacle_hair,触手的头发
tentacle_pit,触手坑
tentacle_sex,触手性
tentacles,触角
tentacles_on_male,触角伸向雄性
tentacles_under_clothes,衣服下的触手
tented_shirt,帐篷里的衬衫
teruterubouzu,teruterubouzu
test_plugsuit,测试plugsuit
test_tube,试管
testicle_grab,睾丸抓住
testicle_sucking,睾丸吸
testicles,睾丸
text-only_page,文本页面
text_focus,文本集中
texture,纹理
thai_text,泰国文字
thank_you,谢谢你！
the_pose,姿势
theft,盗窃
themed_object,主题对象
thermometer,温度计
thermos,热水瓶
they_had_lots_of_sex_afterwards,之后他们发生了很多性行为
thick_eyebrows,厚的眉毛
thick_thighs,大腿粗
thigh_boots,大腿靴
thigh_cutout,大腿断路
thigh_gap,大腿差距
thigh_grab,大腿抓住
thigh_holster,大腿皮套
thigh_pouch,大腿袋
thigh_ribbon,大腿丝带
thigh_sex,大腿性
thigh_strap,大腿带
thighband_pantyhose,thighband连裤袜
thighhighs,thighhighs
